Dataset,lag,horizion,clipforecast,clipvalue,MSE,MAPE,SMAPE,MAE,MASE,ZI-MAPE,ZI-SMAPE,ZI-MAE,ZI-MSE
ETTh1,336,96,False,0,5.777886643420241,0.4162449315473565,0.540313037699259,1.707790188070032,1.5464444579507834,0.4162449315473565,0.5403130376992591,1.707790188070032,5.777886643420241
Divvy,336,24,True,0,3.3095833333333333,488828209554172.8,,0.8345833333333333,0.7479462285287529,0.4032971067354214,0.5612021000573523,0.7260416666666667,3.110625
Kaggle_Sales,336,96,False,0,1951.5645833333333,0.1275286915297682,0.14168962766320034,21.820416666666667,1.2201727271315181,0.1275286915297682,0.14168962766320034,21.820416666666667,1951.5645833333333
ETTh2,336,96,False,0,12.523701977949807,0.20167091525088215,,2.4873921076456704,1.6244019739044757,0.20167091525088215,0.30711096793012854,2.4873921076456704,12.523701977949807
ETTm1,336,96,False,0,2.570311936283549,40210710958665.46,0.3177619026252626,1.1395178492668838,1.9208536355705763,0.32889453660002027,0.3237142835776436,1.1305892778383124,2.5167405077121208
ETTm2,336,96,False,0,10.436917586151983,6701785159777.686,,2.4361696573240414,2.2140944744701416,0.16485327880016298,0.214805071586184,2.4346815620859465,10.435429490913888
Exchange,336,96,False,0,0.2770018525970443,0.7767019459748639,1.5293986558748112,0.41720852343750003,68.3185415366036,0.7767019459748639,1.5293986558748112,0.41720852343750003,0.2770018525970443
Weather,336,96,False,0,1166.3230724206348,1.9086684135046388e+16,,14.63907738095238,3.1930198490064683,4.9690931388838315,4.5993061595374165,10.400982142857142,845.4589851190477
Traffic,336,96,False,0,0.003443977463020834,0.9349479166666667,,0.04500566145833333,5.3156031466380576,0.9349479166666667,1.8698958333333333,0.04500566145833333,0.003443977463020834
